States,"OVERALL
RANK
","ECONOMIC
WELL-BEING RANK
","EDUCATION
RANK","HEALTH
RANK"," FAMILY AND
COMMUNITY RANK"
Alabama,47,45,43,47,44
Alaska,36,34,49,30,19
Arizona,42,36,46,33,46
Arkansas,40,46,31,40,45
California,34,44,38,11,37
Colorado,15,12,17,26,11
Connecticut,6,24,3,2,17
Delaware,27,26,30,29,25
"District of	Columbia",N.R.,N.R.,N.R.,N.R.,N.R.
Florida,35,42,16,38,34
Georgia,38,35,37,46,39
Hawaii,17,25,35,7,12
Idaho,22,17,36,21,9
Illinois,24,21,12,20,27
Indiana,29,15,15,35,31
Iowa,10,5,13,18,13
Kansas,19,9,25,23,24
Kentucky,37,41,27,42,41
Louisiana,48,50,47,43,49
Maine,13,16,21,14,4
Maryland,21,13,19,28,22
Massachusetts,1,14,2,1,8
Michigan,32,30,40,22,30
Minnesota,3,3,8,3,5
Mississippi,49,47,39,50,50
Missouri,30,20,24,39,29
Montana,23,28,22,27,10
Nebraska,9,4,11,16,16
Nevada,46,40,45,36,43
New Hampshire,2,6,5,6,2
New Jersey,8,22,1,15,14
New Mexico,50,49,50,41,48
New York,28,39,18,12,36
North Carolina,33,32,23,32,35
North Dakota,7,1,32,10,6
Ohio,31,27,28,31,32
Oklahoma,45,33,48,49,40
Oregon,25,29,41,4,21
Pennsylvania,20,23,7,19,26
Puerto Rico,N.R.,N.R.,N.R.,N.R.,N.R.
Rhode Island,26,31,33,9,28
South Carolina,41,38,42,44,38
South Dakota,18,8,26,25,23
Tennessee,39,43,29,48,42
Texas,43,37,34,45,47
Utah,4,2,10,13,1
Vermont,5,18,4,8,3
Virginia,14,11,6,24,18
Washington,12,19,14,5,15
West Virginia,44,48,44,37,33
Wisconsin ,11,7,9,17,20
Wyoming,16,10,20,34,7