STATES,"YOUNG CHILDREN
(AGES 3 AND 4) NOT IN
SCHOOL: 2016Ð18","YOUNG CHILDREN
(AGES 3 AND 4) NOT IN
SCHOOL: 2016Ð19",FOURTH-GRADERS NOT PROFICIENT IN READING: 2019,FOURTH-GRADERS NOT PROFICIENT IN READING: 2019,"EIGHTH-GRADERS NOT
PROFICIENT IN MATH: 2019","EIGHTH-GRADERS NOT
PROFICIENT IN MATH: 2019","HIGH SCHOOL STUDENTS
NOT GRADUATING ON TIME:
2017Ð18","HIGH SCHOOL STUDENTS
NOT GRADUATING ON TIME:
2017Ð18"
,NUMBER,PERCENTAGE,NUMBER,PERCENTAGE,NUMBER,PERCENTAGE,NUMBER,PERCENTAGE
United States,"42,15,000",52,N.A.,66,N.A.,67,N.A.,15
Alabama,"67,000",57,N.A.,72,N.A.,79,N.A.,10
Alaska,"13,000",62,N.A.,75,N.A.,71,N.A.,22
Arizona,"1,11,000",61,N.A.,69,N.A.,69,N.A.,21
Arkansas,"39,000",52,N.A.,69,N.A.,73,N.A.,11
California,"5,21,000",51,N.A.,68,N.A.,71,N.A.,17
Colorado,"69,000",50,N.A.,60,N.A.,63,N.A.,19
Connecticut,"26,000",34,N.A.,60,N.A.,61,N.A.,12
Delaware,"12,000",50,N.A.,67,N.A.,71,N.A.,13
"District of	Columbia","4,000",24,N.A.,70,N.A.,77,N.A.,32
Florida,"2,24,000",49,N.A.,62,N.A.,69,N.A.,14
Georgia,"1,39,000",51,N.A.,68,N.A.,69,N.A.,18
Hawaii,"20,000",53,N.A.,66,N.A.,72,N.A.,16
Idaho,"31,000",64,N.A.,63,N.A.,63,N.A.,19
Illinois,"1,39,000",45,N.A.,66,N.A.,66,N.A.,14
Indiana,"1,00,000",58,N.A.,63,N.A.,63,N.A.,12
Iowa,"43,000",53,N.A.,65,N.A.,67,N.A.,9
Kansas,"42,000",53,N.A.,66,N.A.,67,N.A.,13
Kentucky,"64,000",57,N.A.,65,N.A.,71,N.A.,10
Louisiana,"59,000",48,N.A.,74,N.A.,77,N.A.,19
Maine,"14,000",54,N.A.,64,N.A.,66,N.A.,13
Maryland,"77,000",51,N.A.,65,N.A.,67,N.A.,13
Massachusetts,"59,000",40,N.A.,55,N.A.,53,N.A.,12
Michigan,"1,23,000",53,N.A.,68,N.A.,69,N.A.,19
Minnesota,"75,000",52,N.A.,62,N.A.,56,N.A.,17
Mississippi,"36,000",48,N.A.,68,N.A.,76,N.A.,16
Missouri,"83,000",54,N.A.,66,N.A.,68,N.A.,11
Montana,"15,000",57,N.A.,64,N.A.,64,N.A.,14
Nebraska,"30,000",55,N.A.,63,N.A.,63,N.A.,11
Nevada,"48,000",62,N.A.,69,N.A.,74,N.A.,17
New Hampshire,"13,000",50,N.A.,62,N.A.,62,N.A.,11
New Jersey,"77,000",36,N.A.,58,N.A.,56,N.A.,9
New Mexico,"28,000",56,N.A.,76,N.A.,79,N.A.,26
New York,"1,93,000",41,N.A.,66,N.A.,66,N.A.,18
North Carolina,"1,39,000",57,N.A.,64,N.A.,63,N.A.,14
North Dakota,"14,000",68,N.A.,66,N.A.,63,N.A.,12
Ohio,"1,56,000",56,N.A.,64,N.A.,62,N.A.,18
Oklahoma,"61,000",57,N.A.,71,N.A.,74,N.A.,18
Oregon,"52,000",53,N.A.,66,N.A.,69,N.A.,21
Pennsylvania,"1,51,000",52,N.A.,60,N.A.,61,N.A.,14
Puerto Rico,"23,000",37,N.A.,N.A.,N.A.,99,N.A.,26
Rhode Island,"13,000",55,N.A.,65,N.A.,71,N.A.,16
South Carolina,"62,000",53,N.A.,68,N.A.,71,N.A.,19
South Dakota,"15,000",60,N.A.,64,N.A.,61,N.A.,16
Tennessee,"1,01,000",61,N.A.,65,N.A.,69,N.A.,10
Texas,"4,71,000",57,N.A.,70,N.A.,70,N.A.,10
Utah,"58,000",57,N.A.,60,N.A.,63,N.A.,13
Vermont,"5,000",39,N.A.,63,N.A.,62,N.A.,15
Virginia,"1,06,000",51,N.A.,62,N.A.,62,N.A.,13
Washington,"1,05,000",56,N.A.,65,N.A.,60,N.A.,13
West Virginia,"26,000",65,N.A.,70,N.A.,76,N.A.,10
Wisconsin,"76,000",56,N.A.,64,N.A.,59,N.A.,10
Wyoming,"9,000",56,N.A.,59,N.A.,63,N.A.,18